constructorResultsId,raceId,constructorId,points,status
16881,1120,6,18,\N
16880,1120,9,38,\N
16883,1120,1,18,\N
16882,1120,131,17,\N
16790,1111,9,37,\N
16791,1111,117,19,\N
16792,1111,214,16,\N
16793,1111,6,10,\N
16794,1111,131,8,\N
16795,1111,1,8,\N
16796,1111,3,4,\N
16797,1111,210,0,\N
16798,1111,213,0,\N
16799,1111,51,0,\N
16800,1112,9,43,\N
16801,1112,6,27,\N
16802,1112,131,18,\N
16803,1112,3,6,\N
16804,1112,1,4,\N
16805,1112,117,2,\N
16806,1112,51,1,\N
16807,1112,213,0,\N
16808,1112,214,0,\N
16809,1112,210,0,\N
16810,1113,6,37,\N
16811,1113,1,24,\N
16812,1113,131,16,\N
16813,1113,9,14,\N
16814,1113,214,8,\N
16815,1113,213,2,\N
16816,1113,210,1,\N
16817,1113,3,0,\N
16818,1113,51,0,\N
16819,1113,117,0,\N
16820,1114,9,26,\N
16821,1114,1,33,\N
16822,1114,6,20,\N
16823,1114,131,16,\N
16824,1114,117,4,\N
16825,1114,214,3,\N
16826,1114,213,0,\N
16827,1114,51,0,\N
16828,1114,210,0,\N
16829,1114,3,0,\N
16830,1115,9,34,\N
16831,1115,1,47,\N
16832,1115,131,21,\N
16833,1115,6,13,\N
16834,1115,117,9,\N
16835,1115,214,6,\N
16836,1115,51,6,\N
16837,1115,3,2,\N
16838,1115,210,0,\N
16839,1115,213,0,\N
16840,1116,9,49,\N
16841,1116,1,23,\N
16842,1116,6,24,\N
16843,1116,131,18,\N
16844,1116,214,10,\N
16845,1116,117,6,\N
16846,1116,213,5,\N
16847,1116,3,3,\N
16848,1116,210,0,\N
16849,1116,51,0,\N
16850,1117,9,25,\N
16851,1117,131,27,\N
16852,1117,6,27,\N
16853,1117,1,14,\N
16854,1117,213,6,\N
16855,1117,3,2,\N
16856,1117,214,1,\N
16857,1117,210,0,\N
16858,1117,51,0,\N
16859,1117,117,0,\N
16860,1118,9,51,\N
16861,1118,1,26,\N
16862,1118,117,25,\N
16863,1118,6,13,\N
16864,1118,214,7,\N
16865,1118,131,11,\N
16866,1118,213,5,\N
16867,1118,3,0,\N
16868,1118,210,0,\N
16869,1118,51,0,\N
16870,1119,9,40,\N
16871,1119,6,26,\N
16872,1119,214,12,\N
16873,1119,117,12,\N
16874,1119,131,10,\N
16875,1119,1,2,\N
16876,1119,3,0,\N
16877,1119,210,0,\N
16878,1119,213,0,\N
16879,1119,51,0,\N
16884,1120,117,7,\N
16885,1120,213,4,\N
16886,1120,214,0,\N
16887,1120,3,0,\N
16888,1120,210,0,\N
16889,1120,51,0,\N
16890,1121,9,44,\N
16891,1121,6,27,\N
16892,1121,131,16,\N
16893,1121,1,12,\N
16894,1121,117,3,\N
16895,1121,15,0,\N
16896,1121,210,0,\N
16897,1121,215,0,\N
16898,1121,3,0,\N
16899,1121,214,0,\N
16900,1122,9,43,\N
16901,1122,6,22,\N
16902,1122,1,16,\N
16903,1122,117,10,\N
16904,1122,131,10,\N
16905,1122,210,1,\N
16906,1122,3,0,\N
16907,1122,214,0,\N
16908,1122,215,0,\N
16909,1122,15,0,\N
16910,1123,6,44,\N
16911,1123,1,27,\N
16912,1123,9,10,\N
16913,1123,117,12,\N
16914,1123,215,6,\N
16915,1123,210,3,\N
16916,1123,3,0,\N
16917,1123,214,0,\N
16918,1123,15,0,\N
16919,1123,131,0,\N
16920,1124,9,44,\N
16921,1124,6,27,\N
16922,1124,1,14,\N
16923,1124,117,8,\N
16924,1124,131,8,\N
16925,1124,215,1,\N
16926,1124,210,0,\N
16927,1124,15,0,\N
16928,1124,214,0,\N
16929,1124,3,0,\N
16930,1125,9,54,\N
16931,1125,1,27,\N
16932,1125,6,31,\N
16933,1125,131,18,\N
16934,1125,117,7,\N
16935,1125,210,1,\N
16936,1125,214,0,\N
16937,1125,3,0,\N
16938,1125,15,0,\N
16939,1125,215,0,\N
16940,1126,1,28,\N
16941,1126,9,44,\N
16942,1126,6,36,\N
16943,1126,131,12,\N
16944,1126,215,12,\N
16945,1126,117,2,\N
16946,1126,214,1,\N
16947,1126,210,2,\N
16948,1126,15,0,\N
16949,1126,3,0,\N
16950,1127,9,29,\N
16951,1127,1,30,\N
16952,1127,6,25,\N
16953,1127,131,15,\N
16954,1127,117,2,\N
16955,1127,215,1,\N
16956,1127,210,0,\N
16957,1127,214,0,\N
16958,1127,15,0,\N
16959,1127,3,0,\N
16960,1128,6,40,\N
16961,1128,1,30,\N
16962,1128,131,81,\N
16963,1128,9,8,\N
16964,1128,215,4,\N
16965,1128,3,2,\N
16966,1128,214,1,\N
16967,1128,117,0,\N
16968,1128,15,0,\N
16969,1128,210,0,\N
16970,1129,9,25,\N
16971,1129,1,28,\N
16972,1129,131,28,\N
16973,1129,117,14,\N
16974,1129,215,4,\N
16975,1129,214,3,\N
16976,1129,210,0,\N
16977,1129,15,0,\N
16978,1129,6,0,\N
16979,1129,3,0,\N
