driverStandingsId,raceId,driverId,points,position,positionText,wins
72188,1111,830,339,1,1,11
72189,1111,815,201,2,2,2
72190,1111,4,168,3,3,0
72191,1111,832,102,5,5,0
72192,1111,1,156,4,4,0
72193,1111,840,47,9,9,0
72194,1111,847,99,7,7,0
72195,1111,822,5,15,15,0
72196,1111,842,37,10,10,0
72197,1111,848,15,13,13,0
72198,1111,852,3,17,17,0
72199,1111,858,0,19,19,0
72200,1111,825,2,18,18,0
72201,1111,856,0,20,20,0
72202,1111,807,9,14,14,0
72203,1111,855,4,16,16,0
72204,1111,846,75,8,8,0
72205,1111,839,36,11,11,0
72206,1111,844,99,6,6,0
72207,1111,857,36,12,12,0
72208,1111,817,0,21,21,0
72209,1111,859,0,22,22,0
72250,1112,844,111,6,6,0
72249,1112,839,36,11,11,0
72248,1112,846,79,8,8,0
72247,1112,855,4,16,16,0
72246,1112,807,9,14,14,0
72245,1112,856,0,21,21,0
72244,1112,825,2,18,18,0
72243,1112,858,0,19,19,0
72242,1112,852,3,17,17,0
72241,1112,848,21,13,13,0
72240,1112,842,37,10,10,0
72239,1112,822,6,15,15,0
72238,1112,847,109,7,7,0
72237,1112,840,47,9,9,0
72236,1112,1,164,4,4,0
72235,1112,832,117,5,5,0
72234,1112,4,170,3,3,0
72233,1112,815,219,2,2,2
72232,1112,830,364,1,1,12
72251,1112,857,36,12,12,0
72252,1112,817,0,22,22,0
72253,1112,859,0,20,20,0
72294,1113,844,123,6,6,0
72293,1113,839,36,12,12,0
72292,1113,846,97,8,8,0
72291,1113,855,4,16,16,0
72290,1113,807,9,14,14,0
72289,1113,856,0,21,21,0
72288,1113,825,3,18,18,0
72287,1113,858,0,20,20,0
72286,1113,852,3,17,17,0
72285,1113,848,21,13,13,0
72284,1113,842,45,10,10,0
72283,1113,822,6,15,15,0
72282,1113,847,109,7,7,0
72281,1113,840,47,9,9,0
72280,1113,1,180,3,3,0
72279,1113,832,142,5,5,1
72278,1113,4,170,4,4,0
72277,1113,815,223,2,2,2
72276,1113,830,374,1,1,12
72295,1113,857,42,11,11,0
72296,1113,817,0,22,22,0
72297,1113,859,2,19,19,0
72298,1114,830,400,1,1,13
72299,1114,815,223,2,2,2
72300,1114,4,174,4,4,0
72301,1114,832,150,5,5,1
72302,1114,1,190,3,3,0
72303,1114,840,47,10,10,0
72304,1114,847,115,8,8,0
72305,1114,822,6,15,15,0
72306,1114,842,46,11,11,0
72307,1114,848,21,13,13,0
72308,1114,852,3,17,17,0
72309,1114,858,0,20,20,0
72310,1114,825,3,18,18,0
72311,1114,856,0,21,21,0
72312,1114,807,9,14,14,0
72313,1114,855,4,16,16,0
72314,1114,846,115,7,7,0
72315,1114,839,38,12,12,0
72316,1114,844,135,6,6,0
72317,1114,857,57,9,9,0
72318,1114,817,0,22,22,0
72319,1114,859,2,19,19,0
72363,1115,859,2,19,19,0
72362,1115,817,0,22,22,0
72361,1115,857,83,9,9,0
72359,1115,839,44,12,12,0
72358,1115,846,136,7,7,0
72357,1115,855,6,16,16,0
72356,1115,807,9,15,15,0
72353,1115,858,0,20,20,0
72351,1115,848,23,13,13,0
72350,1115,842,46,11,11,0
72348,1115,847,132,8,8,0
72346,1115,1,194,3,3,0
72343,1115,815,224,2,2,2
72347,1115,840,47,10,10,0
72345,1115,832,153,5,5,1
72360,1115,844,145,6,6,0
72349,1115,822,10,14,14,0
72354,1115,825,3,18,18,0
72352,1115,852,3,17,17,0
72342,1115,830,433,1,1,14
72355,1115,856,0,21,21,0
72344,1115,4,183,4,4,0
72407,1116,859,2,19,19,0
72406,1116,817,0,22,22,0
72405,1116,857,83,9,9,0
72404,1116,844,151,7,7,0
72403,1116,839,44,12,12,0
72402,1116,846,159,6,6,0
72401,1116,855,6,17,17,0
72399,1116,856,0,21,21,0
72397,1116,858,1,20,20,0
72394,1116,842,56,10,10,0
72392,1116,847,143,8,8,0
72390,1116,1,201,3,3,0
72387,1116,815,240,2,2,2
72395,1116,848,25,13,13,0
72391,1116,840,53,11,11,0
72389,1116,832,171,5,5,1
72393,1116,822,10,14,14,0
72398,1116,825,3,18,18,0
72396,1116,852,8,16,16,0
72386,1116,830,466,1,1,15
72400,1116,807,9,15,15,0
72388,1116,4,183,4,4,0
72408,1117,830,491,1,1,16
72409,1117,815,240,2,2,2
72410,1117,4,183,5,5,0
72411,1117,832,183,4,4,1
72412,1117,1,220,3,3,0
72413,1117,840,53,11,11,0
72414,1117,847,151,8,8,0
72415,1117,822,10,14,14,0
72416,1117,842,56,10,10,0
72417,1117,848,27,13,13,0
72418,1117,852,8,16,16,0
72419,1117,858,1,21,21,0
72420,1117,825,3,19,19,0
72421,1117,856,0,22,22,0
72422,1117,807,9,15,15,0
72423,1117,855,6,18,18,0
72424,1117,846,169,6,6,0
72425,1117,839,45,12,12,0
72426,1117,844,166,7,7,0
72427,1117,857,87,9,9,0
72428,1117,817,6,17,17,0
72429,1117,859,2,20,20,0
72430,1118,830,524,1,1,17
72431,1118,815,258,2,2,2
72432,1118,4,198,4,4,0
72433,1118,832,192,6,6,1
72434,1118,1,226,3,3,0
72435,1118,840,63,10,10,0
72436,1118,847,156,8,8,0
72437,1118,822,10,15,15,0
72438,1118,842,62,11,11,0
72439,1118,848,27,13,13,0
72440,1118,852,13,14,14,0
72441,1118,858,1,21,21,0
72442,1118,825,3,19,19,0
72443,1118,856,0,22,22,0
72444,1118,807,9,16,16,0
72445,1118,855,6,18,18,0
72446,1118,846,195,5,5,0
72447,1118,839,46,12,12,0
72448,1118,844,170,7,7,0
72449,1118,857,87,9,9,0
72450,1118,817,6,17,17,0
72451,1118,859,2,20,20,0
72494,1119,817,6,17,17,0
72493,1119,857,89,9,9,0
72492,1119,844,188,7,7,0
72491,1119,839,58,12,12,0
72490,1119,846,195,6,6,0
72489,1119,855,6,18,18,0
72488,1119,807,9,16,16,0
72487,1119,856,0,22,22,0
72486,1119,825,3,19,19,0
72485,1119,858,1,21,21,0
72484,1119,852,13,14,14,0
72483,1119,848,27,13,13,0
72482,1119,842,62,11,11,0
72481,1119,822,10,15,15,0
72480,1119,847,160,8,8,0
72479,1119,840,73,10,10,0
72478,1119,1,232,3,3,0
72477,1119,832,200,4,4,1
72476,1119,4,200,5,5,0
72475,1119,815,273,2,2,2
72474,1119,830,549,1,1,18
72495,1119,859,2,20,20,0
72496,1120,830,575,1,1,19
72497,1120,815,285,2,2,2
72498,1120,4,206,4,4,0
72499,1120,832,200,7,7,1
72500,1120,1,234,3,3,0
72501,1120,840,74,10,10,0
72502,1120,847,175,8,8,0
72503,1120,822,10,15,15,0
72504,1120,842,62,11,11,0
72505,1120,848,27,13,13,0
72506,1120,852,17,14,14,0
72507,1120,858,1,21,21,0
72508,1120,825,3,19,19,0
72509,1120,856,0,22,22,0
72510,1120,807,9,16,16,0
72511,1120,855,6,18,18,0
72512,1120,846,205,6,6,0
72513,1120,839,58,12,12,0
72514,1120,844,206,5,5,0
72515,1120,857,97,9,9,0
72516,1120,817,6,17,17,0
72517,1120,859,2,20,20,0
72574,1121,839,0,17,17,0
72573,1121,807,0,16,16,0
72572,1121,848,0,15,15,0
