raceId,driverId,lap,position,time,milliseconds
1111,825,72,15,1:23.550,83550
1112,840,51,16,1:30.865,90865
1113,855,62,12,1:42.246,102246
1114,822,7,20,2:38.277,158277
1115,847,57,4,1:25.804,85804
1116,844,56,6,1:42.725,102725
1117,815,1,20,1:43.446,103446
1118,807,70,12,1:15.595,75595
1119,822,50,17,1:39.068,99068
1120,858,58,16,1:29.379,89379
1121,807,56,16,1:35.602,95602
1122,842,1,20,2:01.453,121453
1123,855,57,15,1:58.614,118614
1124,855,12,18,2:08.193,128193
1125,858,56,17,1:43.148,103148
1126,817,57,16,1:32.122,92122
1127,4,62,19,1:19.004,79004
1128,855,76,16,1:17.173,77173
1129,855,69,15,1:17.620,77620
