qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
3882,114,23,3,4,1,1:15.259,\N,\N
3883,114,8,1,6,2,1:15.295,\N,\N
3884,114,31,3,3,3,1:15.415,\N,\N
3885,114,15,4,7,4,1:15.500,\N,\N
3886,114,30,6,1,5,1:15.644,\N,\N
3887,114,14,1,5,6,1:15.700,\N,\N
3888,114,22,6,2,7,1:15.820,\N,\N
3889,114,4,4,8,8,1:15.884,\N,\N
3890,114,17,19,14,9,1:16.237,\N,\N
3891,114,43,7,21,10,1:16.744,\N,\N
3892,114,35,16,16,11,1:16.755,\N,\N
3893,114,21,17,11,12,1:16.967,\N,\N
3894,114,42,19,15,13,1:17.103,\N,\N
3895,114,2,15,9,14,1:17.176,\N,\N
3896,114,49,15,10,15,1:17.402,\N,\N
3897,114,52,17,12,16,1:17.452,\N,\N
3898,114,44,7,20,17,1:17.464,\N,\N
3899,114,50,18,19,18,1:18.706,\N,\N
3900,114,51,18,18,19,1:20.063,\N,\N
7390,981,815,10,11,11,1:38.511,1:37.582,\N
7391,981,807,4,27,12,1:39.242,1:38.059,\N
7392,981,4,1,14,13,1:39.134,1:38.202,\N
7393,981,826,5,26,14,1:39.183,1:38.245,\N
7394,981,832,5,55,15,1:39.788,1:38.526,\N
7395,981,825,210,20,16,1:40.489,\N,\N
7396,981,835,4,30,17,1:40.646,\N,\N
7397,981,828,15,9,18,1:41.732,\N,\N
7398,981,836,15,94,19,1:41.875,\N,\N
7424,983,20,6,5,20,\N,\N,\N
7430,983,13,3,19,11,1:32.267,1:32.034,\N
7431,983,835,4,30,12,1:32.576,1:32.100,\N
7432,983,840,3,18,13,1:33.000,1:32.307,\N
7433,983,832,5,55,14,1:32.650,1:32.402,\N
7434,983,842,5,10,15,1:32.547,1:32.558,\N
7435,983,154,210,8,16,1:33.308,\N,\N
7436,983,825,210,20,17,1:33.434,\N,\N
7437,983,836,15,94,18,1:33.483,\N,\N
7438,983,828,15,9,19,1:33.970,\N,\N
7509,987,839,10,31,11,1:10.168,1:09.830,\N
7510,987,154,210,8,12,1:10.148,1:09.879,\N
7511,987,838,1,2,13,1:10.286,1:10.116,\N
7512,987,825,210,20,14,1:10.521,1:10.154,\N
7513,987,843,5,28,15,1:10.625,\N,\N
7514,987,836,15,94,16,1:10.678,\N,\N
7515,987,842,5,10,17,1:10.686,\N,\N
7516,987,840,3,18,18,1:10.776,\N,\N
7517,987,828,15,9,19,1:10.875,\N,\N
7549,989,822,131,77,10,1:23.686,1:22.089,\N
