resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
7,18,7,5,14,17,7,7,7,2,55,\N,\N,54,8,1:29.534,213.224,5
19302,803,578,6,11,3,2,2,2,6.14,90,+1:10,10644000,\N,\N,\N,\N,1
20992,850,1,1,3,2,1,1,1,25,60,1:37:30.334,5850334,59,1,1:34.302,196.526,1
21088,854,20,9,1,1,1,1,1,25,61,1:59:06.757,7146757,51,2,1:48.688,168.029,1
26009,1107,846,1,4,4,4,4,4,12,71,+26.327,5159934,48,4,1:08.739,226.142,1
26010,1107,4,117,14,7,5,5,5,10,71,+30.317,5163924,54,8,1:09.108,224.934,1
26011,1107,832,6,55,3,6,6,6,8,71,+31.377,5164984,50,6,1:08.880,225.679,1
26012,1107,847,131,63,11,7,7,7,6,71,+48.403,5182010,49,10,1:09.283,224.366,1
26013,1107,1,131,44,5,8,8,8,4,71,+49.196,5182803,48,9,1:09.160,224.765,1
26014,1107,840,117,18,6,9,9,9,2,71,+59.043,5192650,57,3,1:08.463,227.054,1
26015,1107,842,214,10,9,10,10,10,1,71,+1:07.667,5201274,48,7,1:09.046,225.136,1
26017,1107,855,51,24,17,12,12,12,0,70,\N,\N,46,14,1:09.786,222.749,11
26019,1107,839,214,31,12,14,14,14,0,70,\N,\N,50,15,1:09.797,222.714,11
26020,1107,822,51,77,14,15,15,15,0,70,\N,\N,49,18,1:09.940,222.259,11
26021,1107,857,1,81,13,16,16,16,0,70,\N,\N,46,17,1:09.862,222.507,11
26022,1107,856,213,21,0,17,17,17,0,70,\N,\N,46,16,1:09.852,222.539,11
26023,1107,825,210,20,0,18,18,18,0,70,\N,\N,37,19,1:10.176,221.511,11
26024,1107,852,213,22,16,19,19,19,0,70,\N,\N,45,13,1:09.620,223.280,11
26086,1111,830,9,1,1,1,1,1,25,72,2:24:04.411,8644411,58,2,1:13.889,207.505,1
26087,1111,4,117,14,5,2,2,2,19,72,+3.744,8648155,56,1,1:13.837,207.651,1
26088,1111,842,214,10,12,3,3,3,15,72,+7.058,8651469,55,7,1:14.441,205.967,1
26089,1111,815,9,11,7,4,4,4,12,72,+10.068,8655093,59,4,1:14.231,206.549,1
26090,1111,832,6,55,6,5,5,5,10,72,+12.541,8656952,54,13,1:14.934,204.612,1
26091,1111,1,131,44,13,6,6,6,8,72,+13.209,8657620,58,3,1:13.904,207.463,1
26092,1111,846,1,4,2,7,7,7,6,72,+13.232,8657643,50,6,1:14.390,206.108,1
26093,1111,848,3,23,4,8,8,8,4,72,+15.155,8659566,55,8,1:14.468,205.892,1
26094,1111,857,1,81,8,9,9,9,2,72,+16.580,8660991,54,5,1:14.299,206.360,1
26095,1111,839,214,31,16,10,10,10,1,72,+18.346,8662757,51,10,1:14.570,205.610,1
26096,1111,840,117,18,11,11,11,11,0,72,+20.087,8664498,37,15,1:15.171,203.966,1
26097,1111,807,210,27,14,12,12,12,0,72,+20.840,8665251,53,9,1:14.472,205.881,1
26098,1111,859,213,40,19,13,13,13,0,72,+26.147,8670558,49,12,1:14.820,204.923,1
26099,1111,822,51,77,18,14,14,14,0,72,+27.388,8671799,49,11,1:14.698,205.258,1
26100,1111,852,213,22,17,15,15,15,0,72,+29.893,8682344,35,18,1:16.253,201.072,1
26101,1111,825,210,20,0,16,16,16,0,72,+31.410,8679515,37,17,1:15.489,203.107,1
26102,1111,847,131,63,3,17,17,17,0,72,+55.754,8700165,54,14,1:15.124,204.094,1
26103,1111,855,51,24,15,\N,R,18,0,62,\N,\N,39,16,1:15.417,203.301,3
26104,1111,844,6,16,9,\N,R,19,0,41,\N,\N,33,19,1:17.277,198.408,140
26105,1111,858,3,2,10,\N,R,20,0,14,\N,\N,13,20,1:17.399,198.095,3
26106,1112,830,9,1,2,1,1,1,25,51,1:13:41.143,4421143,33,2,1:25.240,244.659,1
26107,1112,815,9,11,5,2,2,2,18,51,+6.064,4427207,39,4,1:25.522,243.853,1
26108,1112,832,6,55,1,3,3,3,15,51,+11.193,4432336,30,3,1:25.501,243.912,1
26109,1112,844,6,16,3,4,4,4,12,51,+11.377,4432520,38,5,1:25.580,243.687,1
26110,1112,847,131,63,4,5,5,5,10,51,+23.028,4444171,38,9,1:25.847,242.929,1
26111,1112,1,131,44,8,6,6,6,8,51,+42.679,4463822,29,6,1:25.582,243.682,1
26112,1112,848,3,23,6,7,7,7,6,51,+45.106,4466249,33,16,1:26.389,241.405,1
26113,1112,846,1,4,9,8,8,8,4,51,+45.449,4466592,24,14,1:26.144,242.092,1
26114,1112,4,117,14,10,9,9,9,2,51,+46.294,4467437,43,13,1:26.105,242.201,1
26115,1112,822,51,77,14,10,10,10,1,51,+1:04.056,4485199,27,12,1:25.988,242.531,1
26116,1112,859,213,40,12,11,11,11,0,51,+1:10.638,4491781,44,8,1:25.842,242.944,1
26117,1112,857,1,81,7,12,12,12,0,51,+1:13.074,4494217,43,1,1:25.072,245.142,1
26118,1112,858,3,2,15,13,13,13,0,51,+1:18.557,4499700,16,18,1:26.840,240.152,1
26119,1112,855,51,24,16,14,14,14,0,51,+1:20.164,4501307,35,11,1:25.983,242.545,1
26120,1112,842,214,10,17,15,15,15,0,51,+1:22.510,4503653,44,7,1:25.758,243.181,1
26121,1112,840,117,18,20,16,16,16,0,51,+1:27.266,4508409,31,17,1:26.617,240.770,1
26122,1112,807,210,27,13,17,17,17,0,50,\N,\N,50,10,1:25.894,242.796,11
26123,1112,825,210,20,19,18,18,18,0,50,\N,\N,42,15,1:26.278,241.716,11
26124,1112,839,214,31,18,\N,R,19,0,39,\N,\N,33,19,1:26.963,239.812,38
26125,1112,852,213,22,11,\N,R,20,0,0,\N,\N,\N,0,\N,\N,5
26126,1113,832,6,55,1,1,1,1,25,62,1:46:37.418,6397418,47,7,1:37.666,182.089,1
26127,1113,846,1,4,4,2,2,2,18,62,+0.812,6398230,46,8,1:38.046,181.384,1
26128,1113,1,131,44,5,3,3,3,16,62,+1.269,6398687,47,1,1:35.867,185.507,1
26129,1113,844,6,16,3,4,4,4,12,62,+21.177,6418595,46,11,1:38.275,180.961,1
26130,1113,830,9,1,11,5,5,5,10,62,+21.441,6418859,61,4,1:36.575,184.147,1
26131,1113,842,214,10,12,6,6,6,8,62,+38.441,6435859,46,12,1:38.277,180.957,1
26132,1113,857,1,81,17,7,7,7,6,62,+41.479,6438897,46,13,1:38.492,180.562,1
26133,1113,815,9,11,13,8,8,8,4,62,+59.534,6456952,61,5,1:37.108,183.136,1
26134,1113,859,213,40,10,9,9,9,2,62,+1:05.918,6463336,47,15,1:39.028,179.585,1
26135,1113,825,210,20,6,10,10,10,1,62,+1:12.116,6469534,48,10,1:38.107,181.271,1
26136,1113,848,3,23,14,11,11,11,0,62,+1:13.417,6470835,46,6,1:37.342,182.696,1
26137,1113,855,51,24,0,12,12,12,0,62,+1:23.649,6481067,46,16,1:39.316,179.064,1
